[2025-10-02 09:39:01] [INFO    ] discord.client: logging in using static token
[2025-10-02 09:39:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me with None has returned 200
[2025-10-02 09:39:01] [DEBUG   ] discord.http: GET /users/@me has found its initial rate limit bucket hash (78bb8553d9352a5a2f89f9def401287a).
[2025-10-02 09:39:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/users/@me has received {'id': '1423313159502037033', 'username': 'MrCounter', 'avatar': None, 'discriminator': '9308', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None, 'mfa_enabled': False, 'locale': 'en-US', 'premium_type': 0, 'email': None, 'verified': True, 'bio': ''}
[2025-10-02 09:39:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me with None has returned 200
[2025-10-02 09:39:01] [DEBUG   ] discord.http: GET /oauth2/applications/@me has found its initial rate limit bucket hash (d28a133af187e91d71d96a223467ce49).
[2025-10-02 09:39:01] [DEBUG   ] discord.http: GET https://discord.com/api/v10/oauth2/applications/@me has received {'id': '1423313159502037033', 'name': 'MrCounter', 'icon': None, 'description': '', 'type': None, 'bot': {'id': '1423313159502037033', 'username': 'MrCounter', 'avatar': None, 'discriminator': '9308', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'accent_color': None, 'global_name': None, 'avatar_decoration_data': None, 'collectibles': None, 'display_name_styles': None, 'banner_color': None, 'clan': None, 'primary_guild': None}, 'summary': '', 'is_monetized': False, 'is_verified': False, 'is_discoverable': False, 'bot_public': True, 'bot_require_code_grant': False, 'install_params': {'scopes': ['applications.commands'], 'permissions': '0'}, 'integration_types_config': {'0': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}, '1': {'oauth2_install_params': {'scopes': ['applications.commands'], 'permissions': '0'}}}, 'verify_key': '60941b76b210bc3067a2ec417d88259df937d35c2ad1e2607e39793bd437244d', 'flags': 557056, 'hook': True, 'storefront_available': False, 'redirect_uris': [], 'interactions_endpoint_url': None, 'role_connections_verification_url': None, 'owner': {'id': '178569497202917376', 'username': 'thokknar', 'avatar': '34688754f05760acca50c1bdecc3fb7f', 'discriminator': '0', 'public_flags': 0, 'flags': 0, 'banner': '03655891aa61c4bf82b0c2ea88c4599e', 'accent_color': 4298293, 'global_name': 'Thokknar', 'avatar_decoration_data': {'asset': 'a_795f81ea071513ca4394a53e009792ac', 'sku_id': '1413650166774366279', 'expires_at': None}, 'collectibles': None, 'display_name_styles': None, 'banner_color': '#419635', 'clan': None, 'primary_guild': None}, 'approximate_guild_count': 0, 'approximate_user_install_count': 0, 'approximate_user_authorization_count': 0, 'interactions_event_types': [], 'interactions_version': 1, 'explicit_content_filter': 0, 'rpc_application_state': 0, 'store_application_state': 1, 'verification_state': 1, 'integration_public': True, 'integration_require_code_grant': False, 'discoverability_state': 1, 'discovery_eligibility_flags': 224, 'monetization_state': 1, 'verification_eligibility_flags': 91036, 'monetization_eligibility_flags': 181988, 'team': None, 'internal_guild_restriction': 2, 'approved_consoles': [], 'pricing_localization_strategy': 'localized_price_sets'}
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: Created websocket connected to wss://gateway.discord.gg/
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-arm-us-east1-b-vrz5",{"micros":0.0}]']}}
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: Shard ID None has sent the IDENTIFY payload.
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
[2025-10-02 09:39:02] [DEBUG   ] discord.gateway: For Shard ID None: WebSocket Event: {'t': 'READY', 's': 1, 'op': 0, 'd': {'v': 10, 'user_settings': {}, 'user': {'verified': True, 'username': 'MrCounter', 'primary_guild': None, 'mfa_enabled': False, 'id': '1423313159502037033', 'global_name': None, 'flags': 0, 'email': None, 'discriminator': '9308', 'clan': None, 'bot': True, 'avatar': None}, 'session_type': 'normal', 'session_id': '19846b409c58b2608d67374a15839144', 'resume_gateway_url': 'wss://gateway-us-east1-b.discord.gg', 'relationships': [], 'private_channels': [], 'presences': [], 'guilds': [{'unavailable': True, 'id': '1423307403021127742'}], 'guild_join_requests': [], 'geo_ordered_rtc_regions': ['us-south', 'us-west', 'santa-clara', 'oregon', 'us-central'], 'game_relationships': [], 'auth': {}, 'application': {'id': '1423313159502037033', 'flags': 557056}, '_trace': ['["gateway-prd-arm-us-east1-b-vrz5",{"micros":71595,"calls":["id_created",{"micros":429,"calls":[]},"session_lookup_time",{"micros":356,"calls":[]},"session_lookup_finished",{"micros":8,"calls":[]},"discord-sessions-prd-2-178",{"micros":69813,"calls":["start_session",{"micros":67116,"calls":["discord-api-rpc-5684f57bf7-b7rzf",{"micros":34475,"calls":["get_user",{"micros":6074},"get_guilds",{"micros":2354},"send_scheduled_deletion_message",{"micros":17},"guild_join_requests",{"micros":371},"authorized_ip_coro",{"micros":10},"pending_payments",{"micros":25499},"apex_experiments",{"micros":1834},"user_activities",{"micros":4},"played_application_ids",{"micros":4}]}]},"starting_guild_connect",{"micros":41,"calls":[]},"presence_started",{"micros":2048,"calls":[]},"guilds_started",{"micros":56,"calls":[]},"lobbies_started",{"micros":1,"calls":[]},"guilds_connect",{"micros":1,"calls":[]},"presence_connect",{"micros":474,"calls":[]},"connect_finished",{"micros":537,"calls":[]},"build_ready",{"micros":12,"calls":[]},"clean_ready",{"micros":0,"calls":[]},"optimize_ready",{"micros":0,"calls":[]},"split_ready",{"micros":1,"calls":[]}]}]}]']}}
[2025-10-02 09:39:02] [DEBUG   ] discord.client: Dispatching event socket_event_type
[2025-10-02 09:39:02] [INFO    ] discord.gateway: Shard ID None has connected to Gateway (Session ID: 19846b409c58b2608d67374a15839144).
[2025-10-02 09:39:02] [DEBUG   ] discord.client: Dispatching event connect
